model,modelUnitValue,impactType,value,variant,impactYear,state,postal,sector
CCSM4,1,fishpercap,0.000890391,NoAdaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,snowpercap,-0.008127677,NoAdaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,waterpercap,0.32231792,NoAdaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,otherpercap,-0.158611167,NoAdaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,othervalpercap,-1.222883325,NoAdaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,fishpercap,0.000890391,Adaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,snowpercap,-0.008127677,Adaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,waterpercap,0.32231792,Adaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,otherpercap,-0.158611167,Adaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,othervalpercap,-1.222883325,Adaptation,NA,Alabama,AL,OutdoorRecreation
CCSM4,1,fishpercap,0.014498625,NoAdaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,snowpercap,-0.005217482,NoAdaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,waterpercap,0.274950669,NoAdaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,otherpercap,0.002826754,NoAdaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,othervalpercap,3.484654322,NoAdaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,fishpercap,0.014498625,Adaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,snowpercap,-0.005217482,Adaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,waterpercap,0.274950669,Adaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,otherpercap,0.002826754,Adaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,othervalpercap,3.484654322,Adaptation,NA,Arizona,AZ,OutdoorRecreation
CCSM4,1,fishpercap,0.005998399,NoAdaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,snowpercap,-0.009367324,NoAdaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,waterpercap,0.446671489,NoAdaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,otherpercap,-0.147735362,NoAdaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,othervalpercap,-0.03364256,NoAdaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,fishpercap,0.005998399,Adaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,snowpercap,-0.009367324,Adaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,waterpercap,0.446671489,Adaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,otherpercap,-0.147735362,Adaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,othervalpercap,-0.03364256,Adaptation,NA,Arkansas,AR,OutdoorRecreation
CCSM4,1,fishpercap,0.006554642,NoAdaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,snowpercap,-0.008147411,NoAdaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,waterpercap,0.27289818,NoAdaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,otherpercap,0.091654588,NoAdaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,othervalpercap,4.789651093,NoAdaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,fishpercap,0.006554642,Adaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,snowpercap,-0.008147411,Adaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,waterpercap,0.27289818,Adaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,otherpercap,0.091654588,Adaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,othervalpercap,4.789651093,Adaptation,NA,California,CA,OutdoorRecreation
CCSM4,1,fishpercap,0.001798746,NoAdaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,snowpercap,-0.01465156,NoAdaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,waterpercap,0.299616609,NoAdaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,otherpercap,0.2037657,NoAdaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,othervalpercap,7.866776911,NoAdaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,fishpercap,0.001798746,Adaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,snowpercap,-0.01465156,Adaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,waterpercap,0.299616609,Adaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,otherpercap,0.2037657,Adaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,othervalpercap,7.866776911,Adaptation,NA,Colorado,CO,OutdoorRecreation
CCSM4,1,fishpercap,0.003452624,NoAdaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,snowpercap,-0.002783148,NoAdaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,waterpercap,0.118163763,NoAdaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,otherpercap,0.238336678,NoAdaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,othervalpercap,8.822250239,NoAdaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,fishpercap,0.001471641,Adaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,snowpercap,-0.006494687,Adaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,waterpercap,0.179163778,Adaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,otherpercap,0.138874797,Adaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,othervalpercap,4.741733029,Adaptation,NA,Connecticut,CT,OutdoorRecreation
CCSM4,1,fishpercap,-0.002116309,NoAdaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,snowpercap,-0.000510417,NoAdaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,waterpercap,0.155191253,NoAdaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,otherpercap,0.050018309,NoAdaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,othervalpercap,5.376995056,NoAdaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,fishpercap,-0.00025989,Adaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,snowpercap,-0.003763543,Adaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,waterpercap,0.254460572,Adaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,otherpercap,0.0891658,Adaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,othervalpercap,4.673914902,Adaptation,NA,Delaware,DE,OutdoorRecreation
CCSM4,1,fishpercap,-0.004190671,NoAdaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,snowpercap,-0.002941773,NoAdaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,waterpercap,0.143963079,NoAdaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,otherpercap,0.116614597,NoAdaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,othervalpercap,5.661653642,NoAdaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,fishpercap,0.002487756,Adaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,snowpercap,-0.006825942,Adaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,waterpercap,0.225045999,Adaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,otherpercap,0.061568821,Adaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,othervalpercap,2.615727838,Adaptation,NA,District of Columbia,DC,OutdoorRecreation
CCSM4,1,fishpercap,-0.003349542,NoAdaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,snowpercap,-0.001292602,NoAdaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,waterpercap,0.26035641,NoAdaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,otherpercap,-0.167195445,NoAdaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,othervalpercap,-4.115850019,NoAdaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,fishpercap,-0.003349542,Adaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,snowpercap,-0.001292602,Adaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,waterpercap,0.26035641,Adaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,otherpercap,-0.167195445,Adaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,othervalpercap,-4.115850019,Adaptation,NA,Florida,FL,OutdoorRecreation
CCSM4,1,fishpercap,-0.000737434,NoAdaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,snowpercap,-0.008457423,NoAdaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,waterpercap,0.321636474,NoAdaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,otherpercap,-0.111813885,NoAdaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,othervalpercap,-0.270570916,NoAdaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,fishpercap,-0.000737434,Adaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,snowpercap,-0.008457423,Adaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,waterpercap,0.321636474,Adaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,otherpercap,-0.111813885,Adaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,othervalpercap,-0.270570916,Adaptation,NA,Georgia,GA,OutdoorRecreation
CCSM4,1,fishpercap,0.000232044,NoAdaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,snowpercap,-0.012121779,NoAdaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,waterpercap,0.208169532,NoAdaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,otherpercap,0.439430687,NoAdaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,othervalpercap,11.83086255,NoAdaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,fishpercap,0.005297712,Adaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,snowpercap,-0.022549322,Adaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,waterpercap,0.327642858,Adaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,otherpercap,0.31490595,Adaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,othervalpercap,10.14078135,Adaptation,NA,Idaho,ID,OutdoorRecreation
CCSM4,1,fishpercap,-0.004029714,NoAdaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,snowpercap,-0.005095899,NoAdaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,waterpercap,0.262564335,NoAdaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,otherpercap,0.154046597,NoAdaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,othervalpercap,7.891058188,NoAdaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,fishpercap,-0.003100502,Adaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,snowpercap,-0.000935142,Adaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,waterpercap,0.34887058,Adaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,otherpercap,0.008189084,Adaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,othervalpercap,1.869437119,Adaptation,NA,Illinois,IL,OutdoorRecreation
CCSM4,1,fishpercap,-0.005196013,NoAdaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,snowpercap,-0.00573933,NoAdaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,waterpercap,0.288651411,NoAdaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,otherpercap,0.153060449,NoAdaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,othervalpercap,8.209342312,NoAdaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,fishpercap,-0.001819624,Adaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,snowpercap,-0.005709023,Adaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,waterpercap,0.389571503,Adaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,otherpercap,-0.025792022,Adaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,othervalpercap,1.440081931,Adaptation,NA,Indiana,IN,OutdoorRecreation
CCSM4,1,fishpercap,-0.007427218,NoAdaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,snowpercap,-0.006202915,NoAdaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,waterpercap,0.311265013,NoAdaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,otherpercap,0.227043188,NoAdaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,othervalpercap,10.33343971,NoAdaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,fishpercap,-0.001249204,Adaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,snowpercap,-0.008335515,Adaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,waterpercap,0.42095175,Adaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,otherpercap,-0.04119048,Adaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,othervalpercap,1.291180349,Adaptation,NA,Iowa,IA,OutdoorRecreation
CCSM4,1,fishpercap,0.01147561,NoAdaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,snowpercap,-0.010078098,NoAdaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,waterpercap,0.524992171,NoAdaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,otherpercap,-0.115417782,NoAdaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,othervalpercap,2.226689149,NoAdaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,fishpercap,0.01147561,Adaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,snowpercap,-0.010078098,Adaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,waterpercap,0.524992171,Adaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,otherpercap,-0.115417782,Adaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,othervalpercap,2.226689149,Adaptation,NA,Kansas,KS,OutdoorRecreation
CCSM4,1,fishpercap,0.001539352,NoAdaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,snowpercap,-0.002661217,NoAdaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,waterpercap,0.391029722,NoAdaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,otherpercap,-0.097665327,NoAdaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,othervalpercap,-0.139453572,NoAdaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,fishpercap,0.001539352,Adaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,snowpercap,-0.002661217,Adaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,waterpercap,0.391029722,Adaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,otherpercap,-0.097665327,Adaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,othervalpercap,-0.139453572,Adaptation,NA,Kentucky,KY,OutdoorRecreation
CCSM4,1,fishpercap,-2.04E-05,NoAdaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,snowpercap,-0.006526633,NoAdaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,waterpercap,0.312163186,NoAdaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,otherpercap,-0.108190077,NoAdaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,othervalpercap,-0.933749549,NoAdaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,fishpercap,-2.04E-05,Adaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,snowpercap,-0.006526633,Adaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,waterpercap,0.312163186,Adaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,otherpercap,-0.108190077,Adaptation,NA,Louisiana,LA,OutdoorRecreation
CCSM4,1,othervalpercap,-0.933749549,Adaptation,NA,Louisiana,LA,OutdoorRecreation
