state,postal,sector,variant,impactType,model,modelUnitValue,impactYear,value
Alabama,AL,Rail,NoAdapt,NA,CanESM2,1,NA,263.4610665
Alabama,AL,Rail,NoAdapt,NA,CanESM2,2,NA,1072.260753
Alabama,AL,Rail,NoAdapt,NA,CanESM2,3,NA,2215.90106
Alabama,AL,Rail,NoAdapt,NA,CanESM2,4,NA,2221.005327
Alabama,AL,Rail,NoAdapt,NA,CanESM2,5,NA,6201.533223
Alabama,AL,Rail,NoAdapt,NA,CanESM2,6,NA,7952.412044
Alabama,AL,Rail,NoAdapt,NA,CCSM4,1,NA,671.623223
Alabama,AL,Rail,NoAdapt,NA,CCSM4,2,NA,4265.085484
Alabama,AL,Rail,NoAdapt,NA,CCSM4,3,NA,2509.744335
Alabama,AL,Rail,NoAdapt,NA,CCSM4,4,NA,13325.31006
Alabama,AL,Rail,NoAdapt,NA,CCSM4,5,NA,13516.65574
Alabama,AL,Rail,NoAdapt,NA,GISS-E2-R,1,NA,-112.1979276
Alabama,AL,Rail,NoAdapt,NA,GISS-E2-R,2,NA,4.236497927
Alabama,AL,Rail,NoAdapt,NA,GISS-E2-R,3,NA,63.08276489
Alabama,AL,Rail,NoAdapt,NA,HadGEM2-ES,1,NA,16436.43092
Alabama,AL,Rail,NoAdapt,NA,HadGEM2-ES,2,NA,15703.74577
Alabama,AL,Rail,NoAdapt,NA,HadGEM2-ES,3,NA,92335.65054
Alabama,AL,Rail,NoAdapt,NA,HadGEM2-ES,4,NA,100923.704
Alabama,AL,Rail,NoAdapt,NA,HadGEM2-ES,5,NA,75620.12192
Alabama,AL,Rail,NoAdapt,NA,HadGEM2-ES,6,NA,107394.1772
Alabama,AL,Rail,NoAdapt,NA,MIROC5,1,NA,144.4769853
Alabama,AL,Rail,NoAdapt,NA,MIROC5,2,NA,424.7458027
Alabama,AL,Rail,NoAdapt,NA,MIROC5,3,NA,1138.680841
Alabama,AL,Rail,NoAdapt,NA,MIROC5,4,NA,1588.036705
Alabama,AL,Rail,NoAdapt,NA,MIROC5,5,NA,3930.996897
Alabama,AL,Rail,NoAdapt,NA,GFDL-CM3,1,NA,1725.604285
Alabama,AL,Rail,NoAdapt,NA,GFDL-CM3,2,NA,375.6095772
Alabama,AL,Rail,NoAdapt,NA,GFDL-CM3,3,NA,2365.98069
Alabama,AL,Rail,NoAdapt,NA,GFDL-CM3,4,NA,5287.974368
Alabama,AL,Rail,NoAdapt,NA,GFDL-CM3,5,NA,12730.3074
Alabama,AL,Rail,NoAdapt,NA,GFDL-CM3,6,NA,15462.18518
Arkansas,AR,Rail,NoAdapt,NA,CanESM2,1,NA,1974.004374
Arkansas,AR,Rail,NoAdapt,NA,CanESM2,2,NA,5214.806421
Arkansas,AR,Rail,NoAdapt,NA,CanESM2,3,NA,9075.554028
Arkansas,AR,Rail,NoAdapt,NA,CanESM2,4,NA,9433.777688
Arkansas,AR,Rail,NoAdapt,NA,CanESM2,5,NA,17606.0457
Arkansas,AR,Rail,NoAdapt,NA,CanESM2,6,NA,22282.89234
Arkansas,AR,Rail,NoAdapt,NA,CCSM4,1,NA,9506.848914
Arkansas,AR,Rail,NoAdapt,NA,CCSM4,2,NA,17741.22454
Arkansas,AR,Rail,NoAdapt,NA,CCSM4,3,NA,46631.98881
Arkansas,AR,Rail,NoAdapt,NA,CCSM4,4,NA,35710.37815
Arkansas,AR,Rail,NoAdapt,NA,CCSM4,5,NA,24938.43935
Arkansas,AR,Rail,NoAdapt,NA,GISS-E2-R,1,NA,-945.4721698
Arkansas,AR,Rail,NoAdapt,NA,GISS-E2-R,2,NA,396.8066518
